type,cost,name,text,damage
Colorless,"['Fairy']","Choose 2 of your Benched Pok\u00e9mon. For each of those Pok\u00e9mon, search your deck for a Fairy Energy card and attach it to that Pok\u00e9mon. Shuffle your deck afterward.",""
Colorless,"['Fairy', 'Fairy', 'Colorless']","Discard an Energy attached to this Pok\u00e9mon.","100"
Colorless,"['Fairy']","Heal 10 damage from this Pok\u00e9mon.","10"
Colorless,"['Colorless']","","30"
Colorless,"['Colorless', 'Colorless', 'Colorless']","Flip a coin. If heads, this attack does 30 more damage.","10+"
Colorless,"['Colorless', 'Colorless', 'Colorless', 'Colorless']","","70"
Colorless,"['Colorless']","Search your discard pile for all Energy cards. This attack does 10 damage times the number of Energy cards you find there. Show them to your opponent, and put them on top of your deck. Shuffle your deck afterward.","10\u00d7"
Colorless,"['Colorless', 'Colorless', 'Colorless']","","60"
Colorless,"['Colorless', 'Colorless']","Flip a coin. If heads, this attack does 20 more damage.","20+"
Colorless,"['Colorless', 'Colorless', 'Colorless']","","60"
Colorless,"['Colorless', 'Colorless']","","20"
Colorless,"['Colorless', 'Colorless']","Return 1 of your Pok\u00e9mon and all cards attached to it to your hand.",""
Colorless,"['Colorless', 'Colorless']","","40"
Colorless,"['Colorless', 'Colorless']","Flip a coin. If heads, this attack does 20 damage plus 20 more damage.","20+"
Colorless,"['Colorless', 'Colorless']","Remove all damage counters from each of your Pok\u00e9mon. Shuffle Togekiss and all cards attached to it back into your deck.",""
Colorless,"['Colorless', 'Colorless', 'Colorless']","Flip a coin. If tails, this attack does nothing.","80"
Colorless,"['Colorless', 'Colorless']","Flip a coin until you get tails. This attack does 20 damage plus 20 more damage for each heads.","20+"
Colorless,"['Colorless']","Flip a coin. If tails, this attack does nothing. If heads, prevent all damage done to Staraptor by attacks (both yours and your opponent's) until the end of your next turn.","30"
Colorless,"['Colorless', 'Colorless', 'Colorless', 'Colorless']","Flip a coin. If tails, Staraptor does 100 damage to itself.","100"
Colorless,"['Colorless', 'Colorless']","Choose 1 of the Defending Pok\u00e9mon's attacks. That Pok\u00e9mon can't use that attack during your opponent's next turn.","20"
Colorless,"['Colorless', 'Colorless', 'Colorless', 'Colorless']","Slaking is now Asleep.","70"
Colorless,"['Colorless']","Remove all Special Conditions and 4 damage counters from Bibarel. Bibarel is now Asleep.",""
Colorless,"['Colorless', 'Colorless', 'Colorless']","Bibarel does 10 damage to itself.","60"
